1000  36.552
1.45504  25.1128  35.2045
26.2195  2.71089  9.81963
28.4968  35.5623  33.1389
6.28212  31.8932  9.25079
30.8294  33.0629  6.58657
9.65439  1.84426  29.6808
4.27468  11.3293  15.6882
11.1685  5.34178  28.9936
30.5736  32.6686  34.6679
34.1796  6.3733  28.507
17.0077  30.3024  32.8382
30.7812  33.4384  2.49266
0.951345  14.8732  21.5128
22.9459  2.72929  35.805
27.4339  28.8558  5.82279
4.04832  17.7291  12.2607
3.00532  8.58513  21.8212
36.4645  9.26243  24.2099
27.9963  2.73386  23.9981
9.25259  10.8234  19.0708
23.0437  2.71447  8.09315
7.09699  2.0598  2.17413
33.1914  5.15997  0.995271
30.9124  16.4289  17.9647
29.9885  6.35236  22.3424
33.3497  11.0493  20.9097
35.1977  1.22233  32.4538
34.0001  10.7692  31.0146
32.2116  7.01473  25.2245
6.14296  10.5419  25.7412
4.78071  5.41145  8.5055
4.95092  34.3211  36.1568
3.65567  17.4674  5.77756
27.7048  14.726  1.44474
23.5287  36.2994  9.89556
31.4791  8.87867  13.2143
25.7314  35.7618  24.8311
29.4564  6.11985  32.3693
12.9916  8.83091  29.1815
4.37202  2.56361  28.2922
30.7616  17.5427  14.1109
33.9144  5.41345  4.6087
32.8804  19.0229  1.94818
1.49873  11.683  9.83975
35.7327  8.87951  18.757
3.11299  15.9855  33.4141
5.33876  14.4901  25.0065
2.59858  28.555  33.0857
5.32908  16.4201  18.0304
30.7648  22.5167  0.338557
22.4388  8.02133  32.3273
26.3843  23.899  9.54499
25.0366  20.0144  11.366
33.9733  3.05581  22.3147
1.78998  28.0135  17.824
25.0469  13.6361  5.93896
32.5342  10.2983  17.1512
0.325138  20.0293  17.0515
31.9771  29.3214  27.0123
3.42803  12.3889  33.9776
4.74058  29.6094  19.6449
2.58424  22.3334  0.63026
36.2774  0.199858  5.78505
0.701778  6.62247  3.52216
20.9416  15.8896  7.12662
1.80478  0.830741  17.8202
25.6294  24.2813  25.915
34.0132  25.7445  15.5531
36.5144  26.747  32.2486
10.0566  16.7145  32.764
7.43761  9.28314  8.01598
6.83329  1.62421  5.73655
1.896  27.6111  10.6676
7.01163  20.5359  3.60833
12.8149  24.2331  20.2135
0.485434  25.2846  2.8213
3.23255  11.7837  23.6754
29.0443  28.2556  15.6006
36.5123  3.82905  24.6432
34.1232  28.4292  29.909
0.834488  28.2668  0.924809
4.59729  33.9422  6.5479
28.5418  30.6363  8.69622
9.80004  5.94262  24.008
31.2315  30.5259  17.6323
34.9177  28.5741  12.5715
10.3527  35.9286  14.1878
11.139  33.9035  17.1443
18.7133  1.23861  35.2025
27.5673  6.96543  9.66281
8.69652  34.3963  23.862
28.9675  19.7054  1.56356
34.6714  8.25632  8.40537
35.5086  32.4283  14.0438
35.9029  36.2939  15.621
27.7826  21.1548  19.894
1.61489  36.5473  31.0841
0.0371735  6.88883  34.6257
3.25805  33.4602  32.6367
34.9887  2.05341  12.3442
1.08908  4.65309  0.371077
33.586  1.92254  2.37551
11.6514  2.80141  3.93413
4.42972  7.6382  15.1674
12.0519  29.5685  11.2305
5.93415  7.48384  28.373
34.5766  12.9335  9.93429
6.30472  32.8738  26.1346
8.47507  25.4452  32.6882
3.79239  0.378349  1.5642
3.50027  8.67614  31.7285
7.3582  2.45285  9.96693
18.7266  6.35306  9.90554
25.8045  9.47041  4.75371
34.4607  32.4598  10.3113
1.74529  13.6387  30.7649
12.7248  7.59879  18.0918
5.64749  23.8363  34.722
11.8535  33.5708  4.77533
0.758906  3.8566  31.12
20.6748  8.47634  36.3323
2.91934  7.28511  25.3474
6.49447  7.54877  34.9958
33.6941  7.05806  16.1075
34.3536  18.6317  15.124
29.7086  7.84271  2.43028
7.05434  13.5066  17.1298
7.35356  19.1349  19.5081
10.176  4.00446  20.9429
7.21062  31.6825  0.916487
30.4405  16.4683  9.94273
0.891545  4.86195  10.1438
32.9969  15.6702  12.342
28.3963  10.2273  11.5917
21.3582  8.48807  11.909
10.8053  13.8337  17.718
32.348  3.74258  13.685
8.24871  14.8838  20.6568
22.5755  26.4  33.5933
4.10908  1.62649  8.94931
5.59954  7.51321  5.58369
31.6049  23.7927  18.2287
2.43248  14.3008  17.5701
2.21735  11.0729  19.5869
30.3019  36.541  7.32823
